,Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
63,64,Oman,457,455,2396,262,5.24,25
64,65,Lithuania,412,405,1508,361,3.66,17
65,66,Iraq,353,353,1537,134,4.35,19
66,67,Azerbaijan,342,339,548,125,1.6,11
67,68,Lebanon,293,290,2721,267,9.29,28
68,69,Latvia,285,284,452,95,1.59,10
69,70,Morocco,262,256,2495,364,9.52,27
70,71,Viet Nam,261,258,1164,92,4.46,16
71,72,Belarus,240,234,989,119,4.12,17
72,73,Cuba,211,209,980,152,4.64,16
73,74,Kazakhstan,206,202,601,99,2.92,10
74,75,Philippines,186,185,1018,189,5.47,17
75,76,Libya,186,185,900,52,4.84,16
76,77,Trinidad and Tobago,182,180,335,27,1.84,10
77,78,Cyprus,179,174,4760,274,26.59,32
78,79,Sri Lanka,147,144,1468,78,9.99,16
79,80,Iceland,128,128,319,38,2.49,8
80,81,Brunei Darussalam,113,113,533,43,4.72,11
81,82,Bahrain,111,109,997,33,8.98,15
82,83,Macedonia,105,104,1130,75,10.76,18
83,84,Kenya,104,104,1408,23,13.54,14
84,85,Bosnia and Herzegovina,92,91,421,48,4.58,12
85,86,Armenia,91,91,518,207,5.69,11
86,87,Syrian Arab Republic,88,87,655,86,7.44,14
87,88,Peru,84,83,211,21,2.51,8
88,89,Nepal,74,74,156,5,2.11,7
89,90,Cameroon,71,71,386,70,5.44,11
90,91,Uruguay,71,70,728,80,10.25,15
91,92,Puerto Rico,69,67,639,28,9.26,11
92,93,Ecuador,68,68,101,2,1.49,5
93,94,Luxembourg,63,62,303,32,4.81,11
94,95,Moldova,57,57,116,47,2.04,6
95,96,Uzbekistan,57,56,158,45,2.77,7
96,97,Tanzania,56,56,600,69,10.71,15
97,98,Palestine,51,51,407,22,7.98,11
98,99,Angola,50,50,79,0,1.58,5
99,100,Ethiopia,49,47,128,28,2.61,4
100,101,Ghana,48,48,137,4,2.85,5
101,102,Sudan,43,43,164,11,3.81,7
102,103,Costa Rica,41,40,79,18,1.93,5
103,104,Macao,38,38,208,8,5.47,6
104,105,Malta,35,35,74,14,2.11,5
105,106,Monaco,34,34,9,5,0.26,1
106,107,Botswana,34,32,79,5,2.32,5
107,108,Georgia,33,33,22,4,0.67,3
108,109,Uganda,33,33,32,3,0.97,2
109,110,Mongolia,30,30,107,20,3.57,7
110,111,Paraguay,30,30,104,10,3.47,5
111,112,Yemen,28,28,121,25,4.32,8
112,113,Bolivia,26,24,103,9,3.96,5
113,114,Burkina Faso,26,26,158,18,6.08,8
114,115,North Korea,25,25,436,0,17.44,10
115,116,Montenegro,25,25,42,10,1.68,4
116,117,Congo,23,23,10,1,0.43,2
117,118,Albania,23,23,168,14,7.3,6
118,119,Zimbabwe,22,21,27,1,1.23,3
119,120,Senegal,20,20,325,7,16.25,10
120,121,El Salvador,20,20,21,3,1.05,2
121,122,Fiji,20,20,110,12,5.5,7
122,123,Zambia,19,19,14,1,0.74,2
123,124,Jamaica,17,17,61,0,3.59,3
124,125,Mauritius,17,17,68,0,4.0,3
125,126,Mozambique,17,16,35,5,2.06,3
126,127,Laos,15,15,4,0,0.27,1
127,128,Nicaragua,14,14,22,1,1.57,2
128,129,Myanmar,13,13,73,13,5.62,3
