,Country,Energy Supply,Energy Supply per Capita,% Renewable
138,Mozambique,469000000.0,18.0,94.63087
139,Myanmar,682000000.0,13.0,72.04213
140,Namibia,63000000.0,27.0,95.79439
141,Nauru,1000000.0,60.0,0.0
142,Nepal,458000000.0,16.0,99.68051
143,Netherlands,3199000000.0,190.0,6.324659
144,New Caledonia,51000000.0,200.0,20.43097
145,New Zealand,876000000.0,196.0,72.87313
146,Nicaragua,149000000.0,25.0,40.76387
147,Niger,87000000.0,5.0,0.0
148,Nigeria,5589000000.0,32.0,18.39025
149,Niue,0.0,65.0,0.0
150,Northern Mariana Islands,,,0.0
151,Norway,1388000000.0,273.0,97.63558
152,Oman,1015000000.0,260.0,0.0
153,Pakistan,2868000000.0,16.0,31.87684
154,Palau,3000000.0,152.0,18.75
155,Panama,158000000.0,42.0,57.50948
156,Papua New Guinea,144000000.0,20.0,23.94636
157,Paraguay,228000000.0,35.0,99.99503
158,Peru,858000000.0,28.0,51.96861
159,Philippines,1781000000.0,18.0,26.17264
160,Poland,4121000000.0,107.0,5.537899
161,Portugal,899000000.0,86.0,53.3403
162,Puerto Rico,56000000.0,15.0,1.080808
163,Qatar,1396000000.0,664.0,0.0
164,South Korea,11007000000.0,221.0,2.279353
165,Republic of Moldova,93000000.0,23.0,5.082873
166,Réunion,59000000.0,70.0,28.29719
167,Romania,1339000000.0,68.0,34.3845
168,Russian Federation,30709000000.0,214.0,17.28868
169,Rwanda,95000000.0,9.0,35.83535
170,Saint Helena,0.0,40.0,9.090909
171,Saint Kitts and Nevis,4000000.0,73.0,0.0
172,Saint Lucia,6000000.0,33.0,0.0
173,Saint Pierre and Miquelon,1000000.0,162.0,2.12766
174,Saint Vincent and the Grenadines,3000000.0,28.0,16.66667
175,Samoa,4000000.0,22.0,31.35593
176,Sao Tome and Principe,3000000.0,14.0,10.44776
177,Saudi Arabia,7985000000.0,264.0,0.000352
178,Senegal,154000000.0,11.0,1.998237
179,Serbia,618000000.0,69.0,27.21619
180,Seychelles,9000000.0,94.0,1.977401
181,Sierra Leone,67000000.0,11.0,64.02439
182,Singapore,1120000000.0,207.0,0.0
183,Sint Maarten ,12000000.0,327.0,0.0
184,Slovakia,711000000.0,131.0,20.21712
185,Slovenia,287000000.0,139.0,31.86424
186,Solomon Islands,6000000.0,11.0,0.0
187,Somalia,126000000.0,12.0,0.0
188,South Africa,6341000000.0,119.0,1.687019
189,South Sudan,28000000.0,2.0,0.423729
190,Spain,4923000000.0,106.0,37.96859
191,Sri Lanka,388000000.0,19.0,59.57323
192,State of Palestine,61000000.0,14.0,0.0
193,Sudan,608000000.0,16.0,78.41048
194,Suriname,34000000.0,65.0,22.02381
195,Swaziland,49000000.0,39.0,40.67797
196,Sweden,2044000000.0,212.0,46.59846
197,Switzerland,1113000000.0,136.0,57.74548
198,Syrian Arab Republic,542000000.0,28.0,11.56827
199,Tajikistan,106000000.0,13.0,99.74292
200,Thailand,5336000000.0,79.0,4.305189
201,The former Yugoslav Republic of Macedonia,117000000.0,56.0,26.14047
202,Timor-Leste,7000000.0,6.0,0.0
203,Togo,134000000.0,19.0,80.18018
204,Tonga,3000000.0,28.0,0.0
205,Trinidad and Tobago,824000000.0,611.0,0.0
206,Tunisia,430000000.0,39.0,3.492547
207,Turkey,4897000000.0,64.0,28.53669
208,Turkmenistan,1102000000.0,210.0,0.0
209,Turks and Caicos Islands,3000000.0,85.0,0.0
210,Tuvalu,,,0.0
211,Uganda,452000000.0,12.0,68.01818
212,Ukraine,4844000000.0,107.0,8.067312
213,United Arab Emirates,2710000000.0,300.0,0.0
214,United Kingdom,7920000000.0,124.0,10.60047
215,United Republic of Tanzania,994000000.0,20.0,31.07284
216,United States,90838000000.0,286.0,11.57098
217,United States Virgin Islands,,,0.0
218,Uruguay,196000000.0,58.0,71.60504
219,Uzbekistan,1798000000.0,62.0,21.32841
220,Vanuatu,3000000.0,10.0,14.70588
221,Venezuela ,2871000000.0,95.0,67.83452
222,Viet Nam,2554000000.0,28.0,45.32152
223,Wallis and Futuna Islands,0.0,26.0,0.0
224,Yemen,344000000.0,13.0,0.0
225,Zambia,400000000.0,26.0,99.71467
226,Zimbabwe,480000000.0,32.0,52.53612
